#           k/h    P           
   0.100000E-03   0.533092E+03
   0.102020E-03   0.543421E+03
   0.104081E-03   0.553950E+03
   0.106184E-03   0.564683E+03
   0.108329E-03   0.575623E+03
   0.110517E-03   0.586776E+03
   0.112750E-03   0.598143E+03
   0.115027E-03   0.609731E+03
   0.117351E-03   0.621543E+03
   0.119722E-03   0.633584E+03
   0.122140E-03   0.645857E+03
   0.124608E-03   0.658368E+03
   0.127125E-03   0.671120E+03
   0.129693E-03   0.684120E+03
   0.132313E-03   0.697370E+03
   0.134986E-03   0.710877E+03
   0.137713E-03   0.724644E+03
   0.140495E-03   0.738678E+03
   0.143333E-03   0.752983E+03
   0.146228E-03   0.767564E+03
   0.149182E-03   0.782427E+03
   0.152196E-03   0.797577E+03
   0.155271E-03   0.813020E+03
   0.158407E-03   0.828760E+03
   0.161607E-03   0.844805E+03
   0.164872E-03   0.861159E+03
   0.168203E-03   0.877829E+03
   0.171601E-03   0.894821E+03
   0.175067E-03   0.912140E+03
   0.178604E-03   0.929794E+03
   0.182212E-03   0.947787E+03
   0.185893E-03   0.966128E+03
   0.189648E-03   0.984822E+03
   0.193479E-03   0.100388E+04
   0.197388E-03   0.102330E+04
   0.201375E-03   0.104309E+04
   0.205443E-03   0.106327E+04
   0.209594E-03   0.108384E+04
   0.213828E-03   0.110480E+04
   0.218147E-03   0.112616E+04
   0.222554E-03   0.114794E+04
   0.227050E-03   0.117013E+04
   0.231637E-03   0.119275E+04
   0.236316E-03   0.121581E+04
   0.241090E-03   0.123930E+04
   0.245960E-03   0.126325E+04
   0.250929E-03   0.128766E+04
   0.255998E-03   0.131254E+04
   0.261170E-03   0.133789E+04
   0.266446E-03   0.136373E+04
   0.271828E-03   0.139007E+04
   0.277319E-03   0.141691E+04
   0.282922E-03   0.144426E+04
   0.288637E-03   0.147214E+04
   0.294468E-03   0.150055E+04
   0.300417E-03   0.152950E+04
   0.306485E-03   0.155901E+04
   0.312677E-03   0.158908E+04
   0.318993E-03   0.161972E+04
   0.325437E-03   0.165095E+04
   0.332012E-03   0.168277E+04
   0.338719E-03   0.171520E+04
   0.345561E-03   0.174825E+04
   0.352542E-03   0.178192E+04
   0.359664E-03   0.181624E+04
   0.366930E-03   0.185121E+04
   0.374342E-03   0.188684E+04
   0.381904E-03   0.192314E+04
   0.389619E-03   0.196014E+04
   0.397490E-03   0.199783E+04
   0.405520E-03   0.203624E+04
   0.413712E-03   0.207537E+04
   0.422070E-03   0.211525E+04
   0.430596E-03   0.215587E+04
   0.439295E-03   0.219726E+04
   0.448169E-03   0.223943E+04
   0.457222E-03   0.228239E+04
   0.466459E-03   0.232616E+04
   0.475882E-03   0.237075E+04
   0.485496E-03   0.241618E+04
   0.495303E-03   0.246246E+04
   0.505309E-03   0.250960E+04
   0.515517E-03   0.255762E+04
   0.525931E-03   0.260654E+04
   0.536556E-03   0.265637E+04
   0.547395E-03   0.270713E+04
   0.558453E-03   0.275883E+04
   0.569734E-03   0.281149E+04
   0.581244E-03   0.286512E+04
   0.592986E-03   0.291975E+04
   0.604965E-03   0.297538E+04
   0.617186E-03   0.303204E+04
   0.629654E-03   0.308975E+04
   0.642374E-03   0.314851E+04
